"","fips_code","civilian_labor_force_2018","employed_2018","unemployed_2018","unemployment_rate_2018","civilian_labor_force_2019","employed_2019","unemployed_2019","unemployment_rate_2019","civilian_labor_force_2020","employed_2020","unemployed_2020","unemployment_rate_2020","civilian_labor_force_2021","employed_2021","unemployed_2021","unemployment_rate_2021","civilian_labor_force_2022","employed_2022","unemployed_2022","unemployment_rate_2022"
"129","05047",7334,7075,259,3.5,7467,7221,246,3.3,7395,6969,426,5.8,7273,6999,274,3.8,7450,7201,249,3.3
"130","05049",4789,4599,190,4,4944,4748,196,4,4865,4609,256,5.3,4911,4728,183,3.7,5017,4847,170,3.4
"131","05051",40542,38924,1618,4,41160,39650,1510,3.7,41218,37877,3341,8.1,41667,39624,2043,4.9,42272,40662,1610,3.8
"132","05053",8276,8022,254,3.1,8366,8103,263,3.1,8205,7771,434,5.3,8196,7929,267,3.3,8468,8206,262,3.1
"133","05055",19709,19030,679,3.4,19908,19224,684,3.4,19371,18191,1180,6.1,19309,18631,678,3.5,19800,19155,645,3.3
"134","05057",9882,9540,342,3.5,9846,9475,371,3.8,9503,8997,506,5.3,9117,8790,327,3.6,9356,9050,306,3.3
"135","05059",13870,13353,517,3.7,13952,13453,499,3.6,13933,13108,825,5.9,13854,13311,543,3.9,13839,13353,486,3.5
"136","05061",5865,5666,199,3.4,5646,5465,181,3.2,5481,5199,282,5.1,5460,5278,182,3.3,5399,5219,180,3.3
"137","05063",16188,15538,650,4,16454,15807,647,3.9,16522,15549,973,5.9,16356,15712,644,3.9,16589,16032,557,3.4
"138","05065",4840,4577,263,5.4,4870,4607,263,5.4,4598,4201,397,8.6,4412,4171,241,5.5,4502,4269,233,5.2
"139","05067",5744,5399,345,6,5768,5397,371,6.4,5778,5352,426,7.4,5571,5273,298,5.3,5513,5240,273,5
"140","05069",27851,26407,1444,5.2,27451,25971,1480,5.4,26998,24773,2225,8.2,26081,24379,1702,6.5,25654,24318,1336,5.2
"141","05071",10328,9862,466,4.5,10199,9739,460,4.5,10011,9365,646,6.5,9798,9329,469,4.8,10101,9684,417,4.1
"142","05073",2474,2348,126,5.1,2440,2328,112,4.6,2389,2202,187,7.8,2314,2179,135,5.8,2319,2208,111,4.8
"143","05075",6780,6516,264,3.9,6789,6512,277,4.1,6722,6299,423,6.3,6709,6419,290,4.3,6841,6597,244,3.6
"144","05077",2882,2745,137,4.8,2801,2677,124,4.4,2713,2501,212,7.8,2547,2403,144,5.7,2568,2450,118,4.6
"145","05079",3984,3815,169,4.2,3873,3707,166,4.3,3823,3591,232,6.1,3725,3552,173,4.6,3710,3544,166,4.5
"146","05081",5429,5146,283,5.2,5486,5253,233,4.2,5285,4933,352,6.7,5187,4948,239,4.6,5205,5004,201,3.9
"147","05083",8683,8338,345,4,8463,8100,363,4.3,8566,7983,583,6.8,8337,7981,356,4.3,8303,7986,317,3.8
"148","05085",33966,32897,1069,3.1,34008,32924,1084,3.2,33424,31534,1890,5.7,33331,32203,1128,3.4,34281,33310,971,2.8
"149","05087",7300,7090,210,2.9,7352,7165,187,2.5,7315,7022,293,4,7478,7243,235,3.1,7803,7609,194,2.5
"150","05089",6451,6187,264,4.1,6616,6354,262,4,6186,5778,408,6.6,6076,5812,264,4.3,6305,6070,235,3.7
