"","fips","n_charging_locations"
"1136",34035,61
"1137",34037,25
"1138",34039,67
"1139",34041,6
"1140",35001,107
"1141",35005,8
"1142",35006,2
"1143",35007,3
"1144",35009,3
"1145",35015,9
"1146",35017,1
"1147",35019,3
"1148",35023,3
"1149",35025,1
"1150",35027,4
"1151",35028,3
"1152",35029,6
"1153",35031,2
"1154",35033,1
"1155",35035,7
"1156",35037,4
"1157",35039,4
"1158",35043,6
"1159",35045,11
"1160",35047,6
"1161",35049,57
"1162",35051,4
"1163",35053,3
"1164",35055,12
"1165",35057,2
"1166",35059,1
"1167",35061,2
"1168",36001,371
"1169",36003,7
"1170",36005,22
"1171",36007,45
"1172",36009,13
"1173",36011,10
"1174",36013,27
"1175",36015,14
"1176",36017,3
"1177",36019,38
"1178",36021,39
"1179",36023,9
"1180",36025,8
"1181",36027,85
"1182",36029,243
"1183",36031,63
"1184",36033,26
"1185",36035,10
"1186",36037,13
"1187",36039,22
"1188",36041,6
"1189",36043,17
"1190",36045,11
"1191",36047,133
"1192",36049,7
"1193",36051,27
"1194",36053,31
"1195",36055,265
"1196",36057,14
"1197",36059,89
"1198",36061,375
"1199",36063,28
"1200",36065,63
"1201",36067,127
"1202",36069,39
"1203",36071,70
"1204",36073,4
"1205",36075,17
"1206",36077,16
"1207",36079,9
"1208",36081,113
"1209",36083,78
"1210",36085,32
"1211",36087,78
"1212",36089,18
"1213",36091,216
"1214",36093,87
"1215",36095,5
"1216",36097,8
"1217",36099,7
"1218",36101,19
"1219",36103,225
"1220",36105,21
"1221",36107,3
"1222",36109,46
"1223",36111,97
"1224",36113,96
"1225",36115,4
"1226",36117,19
"1227",36119,182
"1228",36121,8
"1229",36123,4
"1230",37001,23
"1231",37005,1
"1232",37007,2
"1233",37009,2
"1234",37011,5
"1235",37013,3
"1236",37015,1
"1237",37017,2
"1238",37019,14
"1239",37021,72
"1240",37023,5
"1241",37025,26
"1242",37027,7
"1243",37031,12
"1244",37033,1
"1245",37035,16
"1246",37037,19
"1247",37039,1
"1248",37041,1
"1249",37043,1
"1250",37045,9
"1251",37047,5
"1252",37049,19
"1253",37051,64
"1254",37053,3
"1255",37055,18
"1256",37057,13
"1257",37059,3
"1258",37061,9
"1259",37063,93
"1260",37065,2
"1261",37067,31
"1262",37069,4
"1263",37071,33
"1264",37073,1
"1265",37075,2
"1266",37077,1
"1267",37079,1
"1268",37081,57
"1269",37083,12
"1270",37085,5
"1271",37087,12
"1272",37089,27
"1273",37091,1
"1274",37093,3
"1275",37097,27
"1276",37099,13
"1277",37101,11
"1278",37105,8
"1279",37107,8
"1280",37109,2
"1281",37111,4
"1282",37113,13
"1283",37115,4
"1284",37119,277
"1285",37121,1
"1286",37123,3
"1287",37125,13
"1288",37127,11
"1289",37129,31
"1290",37131,2
"1291",37133,13
"1292",37135,40
"1293",37137,2
"1294",37139,7
"1295",37141,6
"1296",37143,2
"1297",37145,1
"1298",37147,20
"1299",37149,5
"1300",37151,16
"1301",37153,5
"1302",37155,8
"1303",37157,3
"1304",37159,15
"1305",37161,3
"1306",37163,3
"1307",37165,3
"1308",37167,2
"1309",37169,1
"1310",37171,19
"1311",37173,5
"1312",37175,4
"1313",37179,16
"1314",37181,13
"1315",37183,255
"1316",37185,4
"1317",37187,1
"1318",37189,33
"1319",37191,9
"1320",37193,5
"1321",37195,10
"1322",37197,5
"1323",37199,1
"1324",38003,2
"1325",38009,2
"1326",38011,1
"1327",38015,10
"1328",38017,22
"1329",38035,12
"1330",38053,1
"1331",38055,2
"1332",38057,3
"1333",38059,6
"1334",38069,1
"1335",38071,3
"1336",38077,2
"1337",38079,1
"1338",38085,1
"1339",38089,5
"1340",38093,9
"1341",38097,2
"1342",38099,1
"1343",38101,5
"1344",38105,3
"1345",39001,1
"1346",39003,11
"1347",39005,3
"1348",39007,6
"1349",39009,21
"1350",39011,6
"1351",39013,1
"1352",39017,44
"1353",39019,2
"1354",39021,4
"1355",39023,3
"1356",39025,7
"1357",39027,9
"1358",39029,5
"1359",39031,4
"1360",39033,2
"1361",39035,138
"1362",39037,4
"1363",39039,3
"1364",39041,52
"1365",39043,12
"1366",39045,21
"1367",39047,2
"1368",39049,373
"1369",39051,2
"1370",39053,3
"1371",39055,4
"1372",39057,25
"1373",39059,5
"1374",39061,135
"1375",39063,8
"1376",39065,4
"1377",39067,1
"1378",39069,4
"1379",39071,2
"1380",39073,11
"1381",39075,2
"1382",39077,8
"1383",39083,10
"1384",39085,27
"1385",39087,1
"1386",39089,24
"1387",39091,8
"1388",39093,20
"1389",39095,53
"1390",39097,9
"1391",39099,21
"1392",39101,13
"1393",39103,11
"1394",39105,2
"1395",39107,7
"1396",39109,14
"1397",39113,114
"1398",39117,1
"1399",39119,9
"1400",39123,9
"1401",39127,1
"1402",39129,3
"1403",39131,21
"1404",39133,22
"1405",39135,1
"1406",39139,9
"1407",39141,9
"1408",39143,11
"1409",39145,4
"1410",39147,12
"1411",39149,3
"1412",39151,27
"1413",39153,64
"1414",39155,9
"1415",39157,3
"1416",39159,17
"1417",39161,2
"1418",39165,31
"1419",39167,4
"1420",39169,16
"1421",39171,5
"1422",39173,18
"1423",39175,2
"1424",40001,2
"1425",40003,1
"1426",40005,1
"1427",40009,4
"1428",40013,8
"1429",40015,2
"1430",40017,12
"1431",40019,8
"1432",40021,6
"1433",40027,27
"1434",40031,6
"1435",40033,1
"1436",40035,1
"1437",40037,4
"1438",40039,5
"1439",40041,1
"1440",40047,3
"1441",40049,4
"1442",40051,3
"1443",40059,2
"1444",40061,1
"1445",40065,1
"1446",40069,1
"1447",40071,2
"1448",40075,1
"1449",40077,1
"1450",40079,1
"1451",40081,4
"1452",40085,1
"1453",40087,5
"1454",40089,5
"1455",40093,1
"1456",40097,3
"1457",40099,2
"1458",40101,3
"1459",40103,1
"1460",40107,2
"1461",40109,80
"1462",40111,3
